project_id,task_id,task_type,planned_duration_days,actual_duration_days,violation,delay_cause,contractor_past_delay_rate,is_monsoon_period,grace_period_days,material_supply_delay,preceding_task_delayed,task_sequence_index,penalty_per_day_inr,delay_days,penalty_amount_inr
PROJ_REAL_36.0,PROJ_REAL_36.0_0,materials,60,72.0,1,Materials,0.5999092440520836,0,2,1,0,0,25000,12.0,300000.0
PROJ_REAL_37.0,PROJ_REAL_37.0_0,materials,60,76.0,1,Materials,0.8128606512483335,0,6,1,0,0,5000,16.0,80000.0
PROJ_REAL_38.0,PROJ_REAL_38.0_0,materials,60,76.0,1,Materials,0.8316970990888571,0,6,1,1,0,10000,16.0,160000.0
PROJ_REAL_39.0,PROJ_REAL_39.0_0,materials,60,72.0,1,Materials,0.6973853884786005,0,5,1,0,0,10000,12.0,120000.0
PROJ_REAL_40.0,PROJ_REAL_40.0_0,materials,60,76.0,1,Materials,1.0,0,7,1,0,0,25000,16.0,400000.0
PROJ_REAL_41.0,PROJ_REAL_41.0_0,materials,60,76.0,1,Materials,0.902246804154241,0,5,1,1,0,10000,16.0,160000.0
PROJ_REAL_42.0,PROJ_REAL_42.0_0,materials,60,76.0,1,Materials,0.9701243497396969,0,1,1,1,0,15000,16.0,240000.0
PROJ_REAL_43.0,PROJ_REAL_43.0_0,materials,60,76.0,1,Materials,0.6958756119385289,0,1,1,0,0,5000,16.0,80000.0
PROJ_REAL_44.0,PROJ_REAL_44.0_0,materials,60,76.0,1,Materials,0.6349203706244148,0,6,1,0,0,20000,16.0,320000.0
PROJ_REAL_45.0,PROJ_REAL_45.0_0,materials,60,76.0,1,Materials,0.749808236458073,0,1,1,0,0,25000,16.0,400000.0
PROJ_REAL_46.0,PROJ_REAL_46.0_0,materials,60,76.0,1,Materials,0.7200408639088852,0,7,1,1,0,15000,16.0,240000.0
PROJ_REAL_47.0,PROJ_REAL_47.0_0,materials,60,76.0,1,Materials,0.8797405715039275,0,7,1,0,0,20000,16.0,320000.0
PROJ_REAL_48.0,PROJ_REAL_48.0_0,materials,60,64.0,0,Materials,0.28554688898416064,0,4,1,1,0,25000,4.0,0.0
PROJ_REAL_49.0,PROJ_REAL_49.0_0,materials,60,76.0,1,Materials,0.8460248507139747,0,7,1,0,0,15000,16.0,240000.0
PROJ_REAL_50.0,PROJ_REAL_50.0_0,materials,60,80.0,1,Materials,1.0,0,6,1,0,0,25000,20.0,500000.0
PROJ_REAL_51.0,PROJ_REAL_51.0_0,materials,60,76.0,1,Materials,0.791849635512144,0,0,1,0,0,5000,16.0,80000.0
PROJ_REAL_52.0,PROJ_REAL_52.0_0,materials,60,80.0,1,Materials,0.7558277425327758,0,0,1,1,0,15000,20.0,300000.0
PROJ_REAL_53.0,PROJ_REAL_53.0_0,materials,60,80.0,1,Materials,1.0,0,2,1,0,0,10000,20.0,200000.0
PROJ_REAL_54.0,PROJ_REAL_54.0_0,materials,60,76.0,1,Materials,0.768446759487201,0,3,1,0,0,5000,16.0,80000.0
PROJ_REAL_55.0,PROJ_REAL_55.0_0,materials,60,68.0,0,Materials,0.5820164242140047,0,2,1,0,0,25000,8.0,0.0
PROJ_REAL_56.0,PROJ_REAL_56.0_0,materials,60,64.0,0,Materials,0.0015854325234966882,0,7,1,0,0,10000,4.0,0.0
PROJ_REAL_57.0,PROJ_REAL_57.0_0,materials,60,64.0,0,Materials,0.28038820225244376,0,7,1,0,0,15000,4.0,0.0
PROJ_REAL_58.0,PROJ_REAL_58.0_0,materials,60,64.0,0,Materials,0.19874474932040342,0,5,1,0,0,15000,4.0,0.0
PROJ_REAL_59.0,PROJ_REAL_59.0_0,materials,60,64.0,0,Materials,0.22127540731053097,0,5,1,0,0,25000,4.0,0.0
PROJ_REAL_60.0,PROJ_REAL_60.0_0,materials,60,76.0,1,Materials,0.6387525371612774,0,7,1,0,0,5000,16.0,80000.0
PROJ_REAL_61.0,PROJ_REAL_61.0_0,materials,60,76.0,1,Materials,0.6357550926439655,0,1,1,1,0,25000,16.0,400000.0
PROJ_REAL_62.0,PROJ_REAL_62.0_0,materials,60,80.0,1,Materials,1.0,0,5,1,0,0,25000,20.0,500000.0
PROJ_REAL_63.0,PROJ_REAL_63.0_0,materials,60,64.0,0,Materials,0.29833698990152113,0,4,1,0,0,15000,4.0,0.0
PROJ_REAL_64.0,PROJ_REAL_64.0_0,materials,60,72.0,1,Materials,0.8104517538046593,0,1,1,0,0,10000,12.0,120000.0
PROJ_REAL_65.0,PROJ_REAL_65.0_0,materials,60,72.0,1,Materials,0.6264736709158388,0,2,1,0,0,10000,12.0,120000.0
PROJ_REAL_66.0,PROJ_REAL_66.0_0,materials,60,80.0,1,Materials,1.0,0,5,1,0,0,5000,20.0,100000.0
PROJ_REAL_67.0,PROJ_REAL_67.0_0,materials,60,80.0,1,Materials,0.9395565607747514,0,7,1,1,0,20000,20.0,400000.0
PROJ_REAL_68.0,PROJ_REAL_68.0_0,materials,60,72.0,1,Materials,0.592271128543186,0,0,1,1,0,25000,12.0,300000.0
PROJ_REAL_69.0,PROJ_REAL_69.0_0,materials,60,68.0,0,Materials,0.3225119238540193,0,2,1,0,0,5000,8.0,0.0
PROJ_REAL_70.0,PROJ_REAL_70.0_0,materials,60,76.0,1,Materials,0.7246456075999751,0,2,1,1,0,25000,16.0,400000.0
PROJ_REAL_71.0,PROJ_REAL_71.0_0,materials,60,76.0,1,Materials,0.733432739811842,0,1,1,0,0,25000,16.0,400000.0
PROJ_REAL_72.0,PROJ_REAL_72.0_0,materials,60,72.0,1,Materials,0.6283729126053397,0,2,1,0,0,15000,12.0,180000.0
PROJ_REAL_73.0,PROJ_REAL_73.0_0,materials,60,64.0,0,Materials,0.0980717131444955,0,1,1,0,0,10000,4.0,0.0
PROJ_REAL_74.0,PROJ_REAL_74.0_0,materials,60,76.0,1,Materials,0.7735189165223777,0,2,1,1,0,15000,16.0,240000.0
PROJ_REAL_75.0,PROJ_REAL_75.0_0,materials,60,76.0,1,Materials,0.7566356752757453,0,3,1,0,0,5000,16.0,80000.0
PROJ_REAL_76.0,PROJ_REAL_76.0_0,materials,60,72.0,1,Materials,0.7122690338012606,0,6,1,0,0,5000,12.0,60000.0
PROJ_REAL_77.0,PROJ_REAL_77.0_0,materials,60,80.0,1,Materials,1.0,0,3,1,1,0,15000,20.0,300000.0
PROJ_REAL_78.0,PROJ_REAL_78.0_0,materials,60,80.0,1,Materials,1.0,0,7,1,0,0,10000,20.0,200000.0
PROJ_REAL_79.0,PROJ_REAL_79.0_0,materials,60,68.0,0,Materials,0.4612203405324625,0,0,1,0,0,10000,8.0,0.0
PROJ_REAL_80.0,PROJ_REAL_80.0_0,materials,60,72.0,1,Materials,0.5898490297688943,0,2,1,0,0,5000,12.0,60000.0
PROJ_REAL_81.0,PROJ_REAL_81.0_0,materials,60,68.0,0,Materials,0.3655033054921576,0,3,1,0,0,20000,8.0,0.0
PROJ_REAL_82.0,PROJ_REAL_82.0_0,materials,60,76.0,1,Materials,0.9262367114736269,0,3,1,0,0,10000,16.0,160000.0
PROJ_REAL_83.0,PROJ_REAL_83.0_0,materials,60,76.0,1,Materials,0.9106881804207689,0,0,1,0,0,15000,16.0,240000.0
PROJ_REAL_84.0,PROJ_REAL_84.0_0,materials,60,72.0,1,Materials,0.6321688298252505,0,2,1,0,0,10000,12.0,120000.0
PROJ_REAL_85.0,PROJ_REAL_85.0_0,materials,60,76.0,1,Materials,0.8311475070194264,0,3,1,0,0,10000,16.0,160000.0
PROJ_REAL_86.0,PROJ_REAL_86.0_0,materials,60,68.0,0,Materials,0.3942470137961143,0,1,1,0,0,25000,8.0,0.0
PROJ_REAL_87.0,PROJ_REAL_87.0_0,materials,60,76.0,1,Materials,0.8021166343481851,0,4,1,0,0,15000,16.0,240000.0
PROJ_REAL_88.0,PROJ_REAL_88.0_0,materials,60,72.0,1,Materials,0.7438790537283172,0,7,1,0,0,20000,12.0,240000.0
PROJ_REAL_89.0,PROJ_REAL_89.0_0,materials,60,68.0,0,Materials,0.34724803742376736,0,6,1,0,0,10000,8.0,0.0
PROJ_REAL_90.0,PROJ_REAL_90.0_0,materials,60,76.0,1,Materials,0.7483245567376114,0,2,1,0,0,5000,16.0,80000.0
PROJ_REAL_91.0,PROJ_REAL_91.0_0,materials,60,72.0,1,Materials,0.5756607429891376,0,7,1,0,0,25000,12.0,300000.0
PROJ_REAL_92.0,PROJ_REAL_92.0_0,materials,60,76.0,1,Materials,0.8503052444908693,0,4,1,1,0,20000,16.0,320000.0
PROJ_REAL_93.0,PROJ_REAL_93.0_0,materials,60,80.0,1,Materials,1.0,0,4,1,0,0,5000,20.0,100000.0
PROJ_REAL_94.0,PROJ_REAL_94.0_0,materials,60,76.0,1,Materials,0.7712241969984587,0,2,1,1,0,5000,16.0,80000.0
PROJ_REAL_95.0,PROJ_REAL_95.0_0,materials,60,64.0,0,Materials,0.31298502239392684,0,6,1,0,0,15000,4.0,0.0
PROJ_REAL_96.0,PROJ_REAL_96.0_0,materials,60,76.0,1,Materials,0.8013164568961414,0,1,1,0,0,15000,16.0,240000.0
PROJ_REAL_97.0,PROJ_REAL_97.0_0,materials,60,80.0,1,Materials,0.8995838660481201,0,6,1,1,0,10000,20.0,200000.0
PROJ_REAL_98.0,PROJ_REAL_98.0_0,materials,60,76.0,1,Materials,0.7950907674246488,0,5,1,1,0,5000,16.0,80000.0
PROJ_REAL_99.0,PROJ_REAL_99.0_0,materials,60,68.0,0,Materials,0.5081770844065241,0,0,1,0,0,25000,8.0,0.0
PROJ_REAL_100.0,PROJ_REAL_100.0_0,materials,60,68.0,0,Materials,0.4490119376550163,0,0,1,0,0,20000,8.0,0.0
PROJ_REAL_101.0,PROJ_REAL_101.0_0,materials,60,76.0,1,Materials,0.45207891775088,0,2,1,1,0,20000,16.0,320000.0
PROJ_REAL_102.0,PROJ_REAL_102.0_0,materials,60,76.0,1,Materials,0.8035724476063892,0,1,1,0,0,25000,16.0,400000.0
PROJ_REAL_103.0,PROJ_REAL_103.0_0,materials,60,76.0,1,Materials,0.6976250059346876,0,0,1,1,0,20000,16.0,320000.0
PROJ_REAL_104.0,PROJ_REAL_104.0_0,materials,60,76.0,1,Materials,0.6904906716915263,0,3,1,1,0,25000,16.0,400000.0
PROJ_REAL_105.0,PROJ_REAL_105.0_0,materials,60,76.0,1,Materials,0.7784448410735924,0,7,1,0,0,25000,16.0,400000.0
PROJ_REAL_106.0,PROJ_REAL_106.0_0,materials,60,76.0,1,Materials,0.8707030033439642,0,3,1,1,0,15000,16.0,240000.0
PROJ_REAL_107.0,PROJ_REAL_107.0_0,materials,60,76.0,1,Materials,0.8174670734941144,0,1,1,0,0,10000,16.0,160000.0
PROJ_REAL_108.0,PROJ_REAL_108.0_0,materials,60,72.0,1,Materials,0.6434455099646567,0,6,1,0,0,15000,12.0,180000.0
PROJ_REAL_109.0,PROJ_REAL_109.0_0,materials,60,68.0,0,Materials,0.3238153210761601,0,4,1,0,0,5000,8.0,0.0
PROJ_REAL_110.0,PROJ_REAL_110.0_0,materials,60,68.0,0,Materials,0.43908304715620156,0,4,1,0,0,5000,8.0,0.0
PROJ_REAL_111.0,PROJ_REAL_111.0_0,materials,60,64.0,0,Materials,0.20117046173444306,0,4,1,1,0,20000,4.0,0.0
PROJ_REAL_112.0,PROJ_REAL_112.0_0,materials,60,76.0,1,Materials,0.9425794766868039,0,3,1,0,0,5000,16.0,80000.0
PROJ_REAL_113.0,PROJ_REAL_113.0_0,materials,60,76.0,1,Materials,0.605253166947072,0,4,1,0,0,25000,16.0,400000.0
PROJ_REAL_114.0,PROJ_REAL_114.0_0,materials,60,76.0,1,Materials,0.8574748568944274,0,0,1,0,0,25000,16.0,400000.0
PROJ_REAL_115.0,PROJ_REAL_115.0_0,materials,60,72.0,1,Materials,0.4936385740998658,0,1,1,1,0,15000,12.0,180000.0
PROJ_REAL_116.0,PROJ_REAL_116.0_0,materials,60,76.0,1,Materials,0.8079150017723133,0,0,1,1,0,25000,16.0,400000.0
PROJ_REAL_117.0,PROJ_REAL_117.0_0,materials,60,68.0,0,Materials,0.5607339308890711,0,0,1,0,0,15000,8.0,0.0
PROJ_REAL_118.0,PROJ_REAL_118.0_0,materials,60,64.0,0,Materials,0.14789149427466275,0,2,1,1,0,20000,4.0,0.0
PROJ_REAL_119.0,PROJ_REAL_119.0_0,materials,60,76.0,1,Materials,0.7425938058468236,0,6,1,1,0,5000,16.0,80000.0
PROJ_REAL_120.0,PROJ_REAL_120.0_0,materials,60,64.0,0,Materials,0.1877773149207424,0,2,1,0,0,15000,4.0,0.0
PROJ_REAL_121.0,PROJ_REAL_121.0_0,materials,60,68.0,0,Materials,0.4044690043731228,0,4,1,0,0,10000,8.0,0.0
PROJ_REAL_122.0,PROJ_REAL_122.0_0,materials,60,76.0,1,Materials,0.9582145027011015,0,7,1,0,0,5000,16.0,80000.0
PROJ_REAL_123.0,PROJ_REAL_123.0_0,materials,60,76.0,1,Materials,0.8029886364046582,0,2,1,0,0,5000,16.0,80000.0
PROJ_REAL_124.0,PROJ_REAL_124.0_0,materials,60,76.0,1,Materials,0.9612733675042424,0,7,1,1,0,20000,16.0,320000.0
PROJ_REAL_125.0,PROJ_REAL_125.0_0,materials,60,64.0,0,Materials,0.17536229068866094,0,3,1,0,0,25000,4.0,0.0
PROJ_REAL_126.0,PROJ_REAL_126.0_0,materials,60,76.0,1,Materials,0.8421899893850702,0,4,1,1,0,15000,16.0,240000.0
PROJ_REAL_127.0,PROJ_REAL_127.0_0,materials,60,76.0,1,Materials,0.6974827187800892,0,4,1,0,0,15000,16.0,240000.0
PROJ_REAL_128.0,PROJ_REAL_128.0_0,materials,60,72.0,1,Materials,0.5951402365799431,0,4,1,0,0,25000,12.0,300000.0
PROJ_REAL_129.0,PROJ_REAL_129.0_0,materials,60,76.0,1,Materials,1.0,0,3,1,1,0,10000,16.0,160000.0
PROJ_REAL_130.0,PROJ_REAL_130.0_0,materials,60,68.0,0,Materials,0.4173911905737625,0,5,1,0,0,15000,8.0,0.0
PROJ_REAL_131.0,PROJ_REAL_131.0_0,materials,60,72.0,1,Materials,0.8876269611651106,0,1,1,1,0,5000,12.0,60000.0
PROJ_REAL_132.0,PROJ_REAL_132.0_0,materials,60,68.0,0,Materials,0.3870300235084467,0,0,1,1,0,10000,8.0,0.0
PROJ_REAL_133.0,PROJ_REAL_133.0_0,materials,60,72.0,1,Materials,0.6764747402455114,0,4,1,0,0,15000,12.0,180000.0
PROJ_REAL_134.0,PROJ_REAL_134.0_0,materials,60,76.0,1,Materials,0.6349300365648541,0,5,1,0,0,25000,16.0,400000.0
PROJ_REAL_135.0,PROJ_REAL_135.0_0,materials,60,72.0,1,Materials,0.5361885600714629,0,2,1,0,0,20000,12.0,240000.0
PROJ_REAL_136.0,PROJ_REAL_136.0_0,materials,60,76.0,1,Materials,0.6947980821020597,0,6,1,1,0,10000,16.0,160000.0
PROJ_REAL_137.0,PROJ_REAL_137.0_0,materials,60,76.0,1,Materials,0.8518405680584928,0,4,1,0,0,25000,16.0,400000.0
PROJ_REAL_138.0,PROJ_REAL_138.0_0,materials,60,68.0,0,Materials,0.18271336499786572,0,5,1,1,0,15000,8.0,0.0
PROJ_REAL_139.0,PROJ_REAL_139.0_0,materials,60,80.0,1,Materials,1.0,0,2,1,0,0,20000,20.0,400000.0
PROJ_REAL_140.0,PROJ_REAL_140.0_0,materials,60,72.0,1,Materials,0.636541185830371,0,5,1,0,0,5000,12.0,60000.0
PROJ_REAL_141.0,PROJ_REAL_141.0_0,materials,60,72.0,1,Materials,0.44889925974089134,0,7,1,1,0,15000,12.0,180000.0
PROJ_REAL_142.0,PROJ_REAL_142.0_0,materials,60,72.0,1,Materials,0.6298345024404418,0,7,1,0,0,25000,12.0,300000.0
PROJ_REAL_143.0,PROJ_REAL_143.0_0,materials,60,68.0,0,Materials,0.5161137439829133,0,6,1,0,0,15000,8.0,0.0
PROJ_REAL_1.0,PROJ_REAL_1.0_1,materials.1,60,64.0,0,Materials.1,0.2677588783498447,0,3,0,0,1,5000,4.0,0.0
PROJ_REAL_2.0,PROJ_REAL_2.0_1,materials.1,60,80.0,1,Materials.1,1.0,0,0,0,1,1,5000,20.0,100000.0
PROJ_REAL_3.0,PROJ_REAL_3.0_1,materials.1,60,68.0,0,Materials.1,0.39629517969721023,0,0,0,0,1,20000,8.0,0.0
PROJ_REAL_4.0,PROJ_REAL_4.0_1,materials.1,60,68.0,0,Materials.1,0.5376800738172312,0,3,0,0,1,25000,8.0,0.0
PROJ_REAL_5.0,PROJ_REAL_5.0_1,materials.1,60,68.0,0,Materials.1,0.3036778033192298,0,6,0,0,1,25000,8.0,0.0
PROJ_REAL_6.0,PROJ_REAL_6.0_1,materials.1,60,64.0,0,Materials.1,0.21145098147462413,0,0,0,0,1,10000,4.0,0.0
PROJ_REAL_7.0,PROJ_REAL_7.0_1,materials.1,60,64.0,0,Materials.1,0.12459212716981226,0,2,0,1,1,20000,4.0,0.0
PROJ_REAL_8.0,PROJ_REAL_8.0_1,materials.1,60,64.0,0,Materials.1,0.1657105841503682,0,0,0,0,1,5000,4.0,0.0
PROJ_REAL_9.0,PROJ_REAL_9.0_1,materials.1,60,64.0,0,Materials.1,0.0,0,6,0,0,1,25000,4.0,0.0
PROJ_REAL_10.0,PROJ_REAL_10.0_1,materials.1,60,64.0,0,Materials.1,0.0052466667258280475,0,5,0,1,1,15000,4.0,0.0
PROJ_REAL_11.0,PROJ_REAL_11.0_1,materials.1,60,76.0,1,Materials.1,0.6644442358306755,0,0,0,1,1,25000,16.0,400000.0
PROJ_REAL_12.0,PROJ_REAL_12.0_1,materials.1,60,64.0,0,Materials.1,0.3272815320441397,0,4,0,1,1,25000,4.0,0.0
PROJ_REAL_13.0,PROJ_REAL_13.0_1,materials.1,60,80.0,1,Materials.1,0.9293406391292661,0,2,0,0,1,25000,20.0,500000.0
PROJ_REAL_14.0,PROJ_REAL_14.0_1,materials.1,60,76.0,1,Materials.1,0.8030920770880241,0,2,0,0,1,20000,16.0,320000.0
PROJ_REAL_15.0,PROJ_REAL_15.0_1,materials.1,60,80.0,1,Materials.1,1.0,0,3,0,1,1,5000,20.0,100000.0
PROJ_REAL_16.0,PROJ_REAL_16.0_1,materials.1,60,72.0,1,Materials.1,0.49394495762627805,0,1,0,0,1,5000,12.0,60000.0
PROJ_REAL_17.0,PROJ_REAL_17.0_1,materials.1,60,72.0,1,Materials.1,0.6318522152683647,0,5,0,0,1,20000,12.0,240000.0
PROJ_REAL_18.0,PROJ_REAL_18.0_1,materials.1,60,72.0,1,Materials.1,0.602843103323664,0,7,0,1,1,20000,12.0,240000.0
PROJ_REAL_19.0,PROJ_REAL_19.0_1,materials.1,60,80.0,1,Materials.1,1.0,0,1,0,1,1,25000,20.0,500000.0
PROJ_REAL_20.0,PROJ_REAL_20.0_1,materials.1,60,72.0,1,Materials.1,0.580629960180697,0,5,0,0,1,25000,12.0,300000.0
PROJ_REAL_21.0,PROJ_REAL_21.0_1,materials.1,60,72.0,1,Materials.1,0.6778351190760438,0,5,0,1,1,5000,12.0,60000.0
PROJ_REAL_22.0,PROJ_REAL_22.0_1,materials.1,60,72.0,1,Materials.1,0.6818704640614051,0,0,0,1,1,20000,12.0,240000.0
PROJ_REAL_23.0,PROJ_REAL_23.0_1,materials.1,60,76.0,1,Materials.1,0.8550436944338505,0,3,0,0,1,10000,16.0,160000.0
PROJ_REAL_24.0,PROJ_REAL_24.0_1,materials.1,60,68.0,0,Materials.1,0.39452773082541004,0,0,0,0,1,20000,8.0,0.0
PROJ_REAL_25.0,PROJ_REAL_25.0_1,materials.1,60,72.0,1,Materials.1,0.44476569950014344,0,5,0,0,1,10000,12.0,120000.0
PROJ_REAL_26.0,PROJ_REAL_26.0_1,materials.1,60,72.0,1,Materials.1,0.47193260727147146,0,4,0,1,1,5000,12.0,60000.0
PROJ_REAL_27.0,PROJ_REAL_27.0_1,materials.1,60,76.0,1,Materials.1,0.7952219552132763,0,4,0,0,1,20000,16.0,320000.0
PROJ_REAL_28.0,PROJ_REAL_28.0_1,materials.1,60,68.0,0,Materials.1,0.3174489791978826,0,6,0,0,1,25000,8.0,0.0
PROJ_REAL_29.0,PROJ_REAL_29.0_1,materials.1,60,68.0,0,Materials.1,0.21870142071697124,0,1,0,0,1,20000,8.0,0.0
PROJ_REAL_30.0,PROJ_REAL_30.0_1,materials.1,60,64.0,0,Materials.1,0.08399021139152602,0,0,0,0,1,15000,4.0,0.0
PROJ_REAL_31.0,PROJ_REAL_31.0_1,materials.1,60,72.0,1,Materials.1,0.6954046803212538,0,3,0,1,1,15000,12.0,180000.0
PROJ_REAL_32.0,PROJ_REAL_32.0_1,materials.1,60,68.0,0,Materials.1,0.5057782519695158,0,5,0,0,1,15000,8.0,0.0
PROJ_REAL_33.0,PROJ_REAL_33.0_1,materials.1,60,72.0,1,Materials.1,0.46595202777080347,0,2,0,0,1,25000,12.0,300000.0
PROJ_REAL_34.0,PROJ_REAL_34.0_1,materials.1,60,68.0,0,Materials.1,0.46998628602504633,0,1,0,1,1,15000,8.0,0.0
PROJ_REAL_35.0,PROJ_REAL_35.0_1,materials.1,60,68.0,0,Materials.1,0.4769130470482872,0,3,0,0,1,10000,8.0,0.0
PROJ_REAL_36.0,PROJ_REAL_36.0_1,materials.1,60,76.0,1,Materials.1,0.9920097200244431,0,2,0,0,1,10000,16.0,160000.0
PROJ_REAL_37.0,PROJ_REAL_37.0_1,materials.1,60,72.0,1,Materials.1,0.42461481616581853,0,3,0,0,1,10000,12.0,120000.0
PROJ_REAL_38.0,PROJ_REAL_38.0_1,materials.1,60,72.0,1,Materials.1,0.5623807759111854,0,1,0,0,1,5000,12.0,60000.0
PROJ_REAL_39.0,PROJ_REAL_39.0_1,materials.1,60,80.0,1,Materials.1,0.9647004060761024,0,4,0,0,1,20000,20.0,400000.0
PROJ_REAL_40.0,PROJ_REAL_40.0_1,materials.1,60,72.0,1,Materials.1,0.6492735487283785,0,3,0,0,1,25000,12.0,300000.0
PROJ_REAL_41.0,PROJ_REAL_41.0_1,materials.1,60,80.0,1,Materials.1,1.0,0,4,0,0,1,10000,20.0,200000.0
PROJ_REAL_42.0,PROJ_REAL_42.0_1,materials.1,60,72.0,1,Materials.1,0.5641142323764577,0,5,0,1,1,15000,12.0,180000.0
